ID,Original # of IC Weights,New # of IC Weights
exgm002,59,15
exgm003,56,5
exgm004,62,18
exgm005,59,12
exgm010,63,8
exgm012,47,15
exgm016,61,17
exgm018,57,16
exgm019,59,6
exgm020,62,17
exgm021,59,8
exgm023,58,12
exgm025,62,15
exgm031,59,20
exgm043,60,9
exgm046,59,16
exgm047,64,16
exgm048,58,22
exgm050,63,18
exgm051,56,10
exgm057,62,19
exgm078,62,12
exgm079,58,9
exgm081,56,8
exgm082,63,19
exgm084,60,15
exgm087,56,10
exgm090,58,11
exgm097,62,20
exgm102,60,12
exgm105,60,15
exgm107,62,8
exgm108,63,10
exgm109,63,15
exgm111,46,5
exgm116,60,20
exgm117,63,10
exgm119,60,17
exgm120,55,3
exgm121,62,21
exgm122,60,4
exgm132,62,12
exgm133,62,9
exgm136,62,25
exgm144,64,12
exgm145,56,17
exgm146,57,6
exgm149,51,13
exgm154,61,15
exgm156,58,22
exgm162,62,12
exgm164,62,10
exgm169,55,7
exgm171,63,19
exgm172,53,7
exgm179,63,10
exgm181,59,11
exgm182,63,21
exgm184,54,13
exgm185,61,22
exgm188,61,23
exgm190,58,11
exgm193,59,8
