ID,Original # of IC Weights,New # of IC Weights
exgm002,59,50
exgm003,56,51
exgm004,62,55
exgm005,59,49
exgm010,63,50
exgm012,47,44
exgm016,61,54
exgm018,57,47
exgm019,59,44
exgm020,62,54
exgm021,59,47
exgm023,58,50
exgm025,62,50
exgm031,59,51
exgm043,60,49
exgm046,59,50
exgm047,64,49
exgm048,58,51
exgm050,63,54
exgm051,56,50
exgm057,62,53
exgm078,62,54
exgm079,58,52
exgm081,56,40
exgm082,63,50
exgm084,60,45
exgm087,56,44
exgm090,58,51
exgm097,62,54
exgm102,60,48
exgm105,60,54
exgm107,62,48
exgm108,63,48
exgm109,63,52
exgm111,46,34
exgm116,60,53
exgm117,63,51
exgm119,60,54
exgm120,55,41
exgm121,62,55
exgm122,60,50
exgm132,62,50
exgm133,62,47
exgm136,62,56
exgm144,64,57
exgm145,56,48
exgm146,57,52
exgm149,51,41
exgm154,61,56
exgm156,58,53
exgm162,62,52
exgm164,62,51
exgm169,55,49
exgm171,63,53
exgm172,53,39
exgm179,63,52
exgm181,59,50
exgm182,63,56
exgm184,54,45
exgm185,61,48
exgm188,61,53
exgm190,58,52
exgm193,59,46
