id,session,removed_channels
"exgm002","s1","FC1;T7;FT10;AF7;AF8"
"exgm002","s2","FT10;FC2;F4;FC3;Fp1;AF7"
"exgm003","s1","CP2;F5;AF7"
"exgm003","s2","FC1;O2;CP2;C4;FC3;F6;Iz;P7"
"exgm004","s1","T8;AF8"
"exgm004","s2","Fp1"
"exgm005","s1","F4;FC4;TP10"
"exgm005","s2","Fp2;AF8;FC4"
"exgm010","s1","F4;FT9"
"exgm010","s2","FC1;TP10;CP2;FC2;F8"
"exgm012","s1","Fp1;O1;FC2;PO7;PO8;C2;TP8"
"exgm012","s2","AF3;F1;FT7;C1;TP7;O1;P1;PO7"
"exgm016","s1","Fz;FC1;CP1;Cz;C1;AF4;F2;TP10;AF7"
"exgm016","s2","Fz;CP5;CP1;AFz;AF8;P3;P7;P5;PO7"
"exgm018","s1","FC1;Cz;T8;C1;C2"
"exgm018","s2","CP2;FC2;FC4;TP9"
"exgm019","s1","Fp2;FC1;Cz;FC3;AF7;AF8"
"exgm019","s2","FT9;Fp1;AF7;AF8"
"exgm020","s1","FC2;AF7"
"exgm020","s2","Cz;FC2;TP7;AF7"
"exgm021","s1","Fp1;AF7;AF8"
"exgm021","s2","Fz;FC1;Pz;Cz;F1;FC3;C1;CPz;C2;AF8"
"exgm023","s1","Fz;AF4;AF8"
"exgm023","s2","AF7"
"exgm025","s1","FC1;FC2;POz;C6;C2;Fp2"
"exgm025","s2","Cz;FC2;FT9"
"exgm031","s1","FC1;Cz;FC2;F1;AF4;Fp1"
"exgm031","s2","Fz;FC1;FC2;F1;FC3;C1;F2;Fp2;AF7;AF8"
"exgm043","s1","T7;P7;Oz;O2;P4;Cz;F4;Iz;TP9"
"exgm043","s2","O2;PO8;Iz;AF7"
"exgm046","s1","Fz;Cz;AF7;F1;F5"
"exgm046","s2","FC1;Cz;T8;FC2;C1;C6;C2;F2;Fp1"
"exgm047","s1","AF7;Fz;T7;FC2;F8"
"exgm047","s2","CP2;Cz;FT7;C1;C6;Fp1;AF7"
"exgm048","s1","FC2;F4;AF4;PO8"
"exgm048","s2","FC1;P3;C4;C1;CP3;T8"
"exgm050","s1","Fz;O1;Oz;FC2;FT8;AF8"
"exgm050","s2","O1;FC4"
"exgm051","s1","FT10;F4;FC3;F8"
"exgm051","s2","Cz;FC2;AF7;TP10;TP8"
"exgm057","s1","FC1;Cz;AF7"
"exgm057","s2","T7;FC2;C2;FT8;AF8"
"exgm078","s1","O1;Oz;CP2;FC2;PO7;Fp1;AF7"
"exgm078","s2","TP9"
"exgm079","s1","FC1;FC2;Fp1"
"exgm079","s2","FT9;FC1;Fp1;TP9;AF7"
"exgm081","s1","F3;FC2;CP3;AF7"
"exgm081","s2","AF7;TP10"
"exgm082","s1","AF7;FC4;Iz"
"exgm082","s2","FT9;TP9;FC2;Iz"
"exgm084","s1","P7;TP10;P5"
"exgm084","s2","Fz;FC1;T8;FC2;F8;FC3;Fp1;AF7"
"exgm087","s1","FC1;T7;T8;FT7;CP3;AF8"
"exgm087","s2","FC1;TP10;Cz;FC3;C1"
"exgm090","s1","FC4;FC2;Fp2"
