participant_id,session,digitforward,digitbackward,gonogo,stroop,wcst
2,1,4,5,1,2,3
2,2,3,4,2,1,5
3,1,2,3,5,1,4
3,2,1,2,3,4,5
4,1,4,5,1,3,2
4,2,2,3,1,4,5
5,1,2,3,1,4,5
5,2,4,5,1,2,3
10,1,3,4,2,5,1
10,2,4,5,1,3,2
12,1,3,4,2,1,5
12,2,3,4,1,2,5
16,1,1,2,4,3,5
16,2,3,4,1,5,2
18,1,1,2,4,5,3
18,2,2,3,4,1,5
19,1,1,2,4,3,5
19,2,3,4,1,5,2
20,1,1,2,4,3,5
20,2,3,4,2,5,1
21,1,2,3,1,5,4
21,2,1,2,4,3,5
23,1,4,5,2,3,1
23,2,3,4,5,1,2
25,1,3,4,2,5,1
25,2,3,4,5,1,2
31,1,1,2,3,4,5
31,2,4,5,1,2,3
43,1,3,4,5,1,2
43,2,4,5,2,3,1
46,1,1,2,4,5,3
46,2,2,3,4,1,5
47,1,2,3,5,4,1
47,2,4,5,1,2,3
48,1,2,3,1,5,4
48,2,3,4,1,5,2
50,1,2,3,5,1,4
50,2,3,4,1,2,5
51,1,2,3,1,5,4
51,2,4,5,3,2,1
57,1,3,4,5,1,2
57,2,4,5,3,2,1
77,1,4,5,1,3,2
78,1,3,4,1,5,2
78,2,1,2,3,5,4
79,1,3,4,5,1,2
79,2,3,4,2,5,1
81,1,1,2,5,3,4
81,2,1,2,3,5,4
82,1,3,4,2,1,5
82,2,2,3,4,5,1
84,1,4,5,3,2,1
84,2,1,2,4,5,3
87,1,1,2,4,3,5
87,2,4,5,3,2,1
90,1,4,5,2,1,3
90,2,3,4,1,2,5
97,1,4,5,1,3,2
97,2,4,5,1,3,2
102,1,4,5,3,2,1
102,2,2,3,4,5,1
105,1,1,2,4,5,3
105,2,4,5,1,3,2
107,1,4,5,1,3,2
107,2,4,5,2,3,1
108,1,3,4,1,5,2
108,2,3,4,5,2,1
109,1,2,3,1,5,4
109,2,3,4,1,2,5
111,1,1,2,3,5,4
111,2,4,5,3,1,2
116,1,4,5,2,3,1
116,2,2,3,5,4,1
117,1,4,5,2,3,1
117,2,3,4,1,2,5
119,1,1,2,3,5,4
119,2,4,5,1,3,2
120,1,4,5,1,2,3
120,2,1,2,3,4,5
121,1,4,5,3,2,1
121,2,2,3,1,5,4
122,1,2,3,5,1,4
122,2,1,2,3,5,4
132,1,4,5,2,1,3
132,2,3,4,2,1,5
133,1,1,2,3,5,4
133,2,4,5,2,1,3
136,1,4,5,2,1,3
136,2,1,2,5,4,3
144,1,3,4,2,5,1
144,2,4,5,2,3,1
145,1,2,3,1,4,5
145,2,3,4,2,5,1
146,1,3,4,1,2,5
146,2,4,5,2,3,1
149,1,3,4,2,1,5
149,2,2,3,4,1,5
152,1,2,3,4,1,5
154,1,2,3,1,4,5
154,2,3,4,1,2,5
156,1,3,4,5,1,2
156,2,3,4,1,5,2
160,1,1,2,3,4,5
162,1,1,2,3,4,5
162,2,3,4,5,2,1
164,1,1,2,4,3,5
164,2,3,4,1,2,5
169,1,2,3,4,5,1
169,2,2,3,4,5,1
171,1,4,5,2,3,1
171,2,3,4,2,5,1
172,1,2,3,5,4,1
172,2,4,5,2,3,1
175,1,3,4,5,2,1
179,1,4,5,1,3,2
179,2,3,4,2,1,5
181,1,4,5,1,2,3
181,2,3,4,5,2,1
182,1,1,2,4,3,5
182,2,3,4,5,1,2
184,1,3,4,5,2,1
184,2,1,2,5,3,4
185,1,3,4,5,1,2
185,2,3,4,1,2,5
188,1,1,2,5,4,3
188,2,3,4,5,1,2
190,1,1,2,5,4,3
190,2,1,2,5,4,3
193,1,1,2,3,5,4
193,2,1,2,4,5,3
77,1,4,5,1,3,2
152,1,2,3,4,1,5
160,1,1,2,3,4,5
175,1,3,4,5,2,1
