id,session,removed_channels
"exgm002",2,"Fz;FC2;F4;FC4;F2"
"exgm003",2,"FC1;T7;TP9;CP5;TP10;FC2;FC3;TP7"
"exgm004",2,"FC1;T7"
"exgm005",2,"FT9;FC1;TP9;CP6;FC2"
"exgm010",2,"TP10"
"exgm012",2,"Fp1;Fz;F3;FC5;FC1;Oz;O2;Cz;T8;FC2;F4;Fp2;AF3;F1;FC3;AF4;Iz"
"exgm016",2,"Fz;FT9;AF4"
"exgm018",2,"C4;FT10;FC2;C5;PO3;CP4;FC4"
"exgm019",2,"Fz;FT9;TP10;F4;Iz"
"exgm020",2,"FC1;FC2"
"exgm021",2,"FT9;CP6;CP3;PO3;CP4"
"exgm023",2,"Fp1;C3;TP9;CP1;Cz;Iz"
"exgm025",2,"TP9;F8"
"exgm031",2,"Fz;FC1;F1;C1;F2"
"exgm043",2,"TP9;Cz;CP3;Iz"
"exgm046",2,"FC1;C4;FT10;CP4;C2"
"exgm047",2,""
"exgm048",2,"FC1;P7;Cz;T8;FC2;C1"
"exgm050",2,"Iz"
"exgm051",2,"TP9;Cz;FT10;FC2;F4;Fp2;C2;AF4"
"exgm057",2,"C3;FT8"
"exgm078",2,"Fp1;FC2"
"exgm079",2,"Fz;T7;TP9;CP1;TP10;Iz"
"exgm081",2,"TP9;P7;TP10;F4;AF7;TP7;PO7;TP8"
"exgm082",2,"F4"
"exgm084",2,"F3;FC1;FC2;FC3"
"exgm087",2,"FC1;CP2;Cz;FC3;C1;P1;CPz;CP4"
"exgm090",2,"FC1;TP9;TP10;Cz;C4;Iz"
"exgm097",2,"Fz;AFz"
"exgm102",2,"TP9;P3;Cz;FC2"
"exgm105",2,"TP9;TP10;TP8;FT8"
"exgm107",2,"C3;TP10"
"exgm108",2,"Cz"
"exgm109",2,"T7"
"exgm111",2,"F7;FT9;FC1;TP9;TP10;CP2;Cz;AF3;AFz;F5;FT7;C1;TP7;CP3;CP4;C2;F2;Iz"
"exgm116",2,"Cz;FC2;AF7;C1"
"exgm117",2,"C3"
"exgm119",2,"C3;CP5;P8;AF7"
"exgm120",2,"Fz;TP9;TP10;Cz;FC2;Fp2;C1;CPz;Iz"
"exgm121",2,"FC5;Cz"
"exgm122",2,"TP9;TP10;Fp2;PO8"
"exgm132",2,"TP9;CP3"
"exgm133",2,"FC2;Iz"
"exgm136",2,"T8;FC2"
"exgm144",2,""
"exgm145",2,"FC1;Cz;C4;FC2;C1;CP4;C2;FC4"
"exgm146",2,"Fz;TP9;Oz;O2;AFz;PO8;Iz"
"exgm149",2,"F7;FC5;FC1;CP6;C4;FC6;FC2;F8;P6;CP4;FC4;FT8;F6"
"exgm154",2,"FC1;O1;CP3"
"exgm156",2,"FC1;Cz;FC2;C2;FC4;F2"
"exgm162",2,"Oz;AF7"
"exgm164",2,"FC2;PO4"
"exgm169",2,"TP9;CP1;Oz;TP10;C4;FT10;FC2;Fp2;FC3"
"exgm171",2,"Fp2"
"exgm172",2,"F3;FC1;C3;CP2;C4;FT10;FC2;F4;F1;FT7;C2"
"exgm179",2,"TP9"
"exgm181",2,"FT9;Fp2;AF3;F1;Iz"
"exgm182",2,"FC1"
"exgm184",2,"Fz;FT9;C3;C4;FC2;AFz;CP4;FC4;AF8;Iz"
"exgm185",2,"Cz;AF7;C1"
"exgm188",2,"Fz;FC1;F1"
"exgm190",2,"CP5;Oz;FC2;F4;AF7;TP7"
"exgm193",2,"CP5;C4;FC2;C2;FC4"
