ID,Session,Original # of IC Weights,New # of IC Weights
exgm002,1,64,21
exgm003,1,62,11
exgm004,1,64,19
exgm005,1,64,14
exgm010,1,63,22
exgm012,1,62,24
exgm016,1,61,17
exgm018,1,60,23
exgm019,1,62,19
exgm020,1,64,19
exgm021,1,63,17
exgm023,1,64,22
exgm025,1,62,15
exgm031,1,61,24
exgm043,1,57,19
exgm046,1,54,19
exgm047,1,59,14
exgm048,1,63,23
exgm050,1,62,13
exgm051,1,63,23
exgm057,1,62,22
exgm077,1,63,28
exgm078,1,62,21
exgm079,1,62,27
exgm081,1,62,21
exgm082,1,62,21
exgm084,1,61,20
exgm087,1,61,27
exgm090,1,60,24
exgm097,1,62,24
exgm102,1,62,20
exgm105,1,60,24
exgm107,1,62,23
exgm108,1,59,16
exgm109,1,63,33
exgm111,1,60,18
exgm116,1,61,26
exgm117,1,60,25
exgm119,1,62,22
exgm120,1,61,14
exgm121,1,56,20
exgm122,1,60,24
exgm132,1,59,24
exgm133,1,62,27
exgm136,1,60,23
exgm144,1,60,20
exgm145,1,61,24
exgm146,1,63,19
exgm149,1,62,26
exgm152,1,63,18
exgm154,1,62,17
exgm156,1,63,21
exgm160,1,63,13
exgm162,1,62,13
exgm164,1,64,24
exgm169,1,63,15
exgm171,1,60,32
exgm172,1,59,11
exgm175,1,63,17
exgm179,1,60,24
exgm181,1,60,20
exgm182,1,63,26
exgm184,1,64,26
exgm185,1,64,24
exgm188,1,56,19
exgm190,1,59,20
exgm193,1,62,8
exgm002,2,63,23
exgm003,2,62,21
exgm004,2,63,28
exgm005,2,64,13
exgm010,2,62,27
exgm012,2,64,34
exgm016,2,64,18
exgm018,2,62,30
exgm019,2,63,19
exgm020,2,63,27
exgm021,2,61,15
exgm023,2,62,23
exgm025,2,59,19
exgm031,2,60,27
exgm043,2,61,25
exgm046,2,59,26
exgm047,2,62,17
exgm048,2,60,25
exgm050,2,62,24
exgm051,2,63,25
exgm057,2,64,28
exgm078,2,61,32
exgm079,2,61,30
exgm081,2,61,27
exgm082,2,59,16
exgm084,2,59,18
exgm087,2,60,26
exgm090,2,59,25
exgm097,2,63,29
exgm102,2,64,31
exgm105,2,63,22
exgm107,2,62,17
exgm108,2,59,15
exgm109,2,64,26
exgm111,2,62,39
exgm116,2,60,30
exgm117,2,61,21
exgm119,2,61,24
exgm120,2,55,4
exgm121,2,62,26
exgm122,2,63,20
exgm132,2,61,24
exgm133,2,61,21
exgm136,2,54,24
exgm144,2,61,22
exgm145,2,63,37
exgm146,2,63,26
exgm149,2,62,32
exgm154,2,61,18
exgm156,2,62,34
exgm162,2,62,26
exgm164,2,63,28
exgm169,2,61,28
exgm171,2,64,23
exgm172,2,55,19
exgm179,2,63,30
exgm181,2,62,27
exgm182,2,61,28
exgm184,2,62,25
exgm185,2,61,28
exgm188,2,62,22
exgm190,2,61,22
exgm193,2,61,23
