ID,Session,Original # of IC Weights,New # of IC Weights
exgm002,1,64,56
exgm003,1,62,54
exgm004,1,64,52
exgm005,1,64,55
exgm010,1,63,56
exgm012,1,62,58
exgm016,1,61,51
exgm018,1,60,56
exgm019,1,62,54
exgm020,1,64,53
exgm021,1,63,52
exgm023,1,64,55
exgm025,1,62,54
exgm031,1,61,56
exgm043,1,57,52
exgm046,1,54,49
exgm047,1,59,47
exgm048,1,63,55
exgm050,1,62,57
exgm051,1,63,56
exgm057,1,62,56
exgm077,1,63,58
exgm078,1,62,58
exgm079,1,62,54
exgm081,1,62,54
exgm082,1,62,49
exgm084,1,61,53
exgm087,1,61,54
exgm090,1,60,57
exgm097,1,62,54
exgm102,1,62,54
exgm105,1,60,56
exgm107,1,62,56
exgm108,1,59,48
exgm109,1,63,57
exgm111,1,60,49
exgm116,1,61,57
exgm117,1,60,51
exgm119,1,62,55
exgm120,1,61,52
exgm121,1,56,46
exgm122,1,60,53
exgm132,1,59,55
exgm133,1,62,56
exgm136,1,60,55
exgm144,1,60,53
exgm145,1,61,48
exgm146,1,63,54
exgm149,1,62,56
exgm152,1,63,53
exgm154,1,62,56
exgm156,1,63,53
exgm160,1,63,58
exgm162,1,62,54
exgm164,1,64,59
exgm169,1,63,55
exgm171,1,60,56
exgm172,1,59,42
exgm175,1,63,51
exgm179,1,60,53
exgm181,1,60,53
exgm182,1,63,55
exgm184,1,64,53
exgm185,1,64,53
exgm188,1,56,48
exgm190,1,59,50
exgm193,1,62,46
exgm002,2,63,55
exgm003,2,62,56
exgm004,2,63,56
exgm005,2,64,55
exgm010,2,62,56
exgm012,2,64,63
exgm016,2,64,58
exgm018,2,62,55
exgm019,2,63,57
exgm020,2,63,58
exgm021,2,61,51
exgm023,2,62,55
exgm025,2,59,47
exgm031,2,60,54
exgm043,2,61,56
exgm046,2,59,54
exgm047,2,62,45
exgm048,2,60,51
exgm050,2,62,55
exgm051,2,63,55
exgm057,2,64,58
exgm078,2,61,57
exgm079,2,61,59
exgm081,2,61,54
exgm082,2,59,50
exgm084,2,59,48
exgm087,2,60,55
exgm090,2,59,48
exgm097,2,63,59
exgm102,2,64,58
exgm105,2,63,56
exgm107,2,62,54
exgm108,2,59,48
exgm109,2,64,61
exgm111,2,62,60
exgm116,2,60,53
exgm117,2,61,52
exgm119,2,61,54
exgm120,2,55,51
exgm121,2,62,56
exgm122,2,63,49
exgm132,2,61,57
exgm133,2,61,53
exgm136,2,54,47
exgm144,2,61,55
exgm145,2,63,57
exgm146,2,63,55
exgm149,2,62,56
exgm154,2,61,56
exgm156,2,62,55
exgm162,2,62,59
exgm164,2,63,57
exgm169,2,61,55
exgm171,2,64,56
exgm172,2,55,45
exgm179,2,63,56
exgm181,2,62,53
exgm182,2,61,56
exgm184,2,62,53
exgm185,2,61,54
exgm188,2,62,48
exgm190,2,61,54
exgm193,2,61,53
