caudalanteriorcingulate L-isthmuscingulate L
caudalanteriorcingulate L-posteriorcingulate L
isthmuscingulate L-posteriorcingulate L
caudalanteriorcingulate L-rostralanteriorcingulate L
isthmuscingulate L-rostralanteriorcingulate L
posteriorcingulate L-rostralanteriorcingulate L
caudalanteriorcingulate L-frontalpole L
isthmuscingulate L-frontalpole L
posteriorcingulate L-frontalpole L
rostralanteriorcingulate L-frontalpole L
caudalanteriorcingulate L-lateralorbitofrontal L
isthmuscingulate L-lateralorbitofrontal L
posteriorcingulate L-lateralorbitofrontal L
rostralanteriorcingulate L-lateralorbitofrontal L
frontalpole L-lateralorbitofrontal L
caudalanteriorcingulate L-medialorbitofrontal L
isthmuscingulate L-medialorbitofrontal L
posteriorcingulate L-medialorbitofrontal L
rostralanteriorcingulate L-medialorbitofrontal L
frontalpole L-medialorbitofrontal L
lateralorbitofrontal L-medialorbitofrontal L
caudalanteriorcingulate L-parsorbitalis L
isthmuscingulate L-parsorbitalis L
posteriorcingulate L-parsorbitalis L
rostralanteriorcingulate L-parsorbitalis L
frontalpole L-parsorbitalis L
lateralorbitofrontal L-parsorbitalis L
medialorbitofrontal L-parsorbitalis L
caudalanteriorcingulate L-caudalmiddlefrontal L
isthmuscingulate L-caudalmiddlefrontal L
posteriorcingulate L-caudalmiddlefrontal L
rostralanteriorcingulate L-caudalmiddlefrontal L
frontalpole L-caudalmiddlefrontal L
lateralorbitofrontal L-caudalmiddlefrontal L
medialorbitofrontal L-caudalmiddlefrontal L
parsorbitalis L-caudalmiddlefrontal L
caudalanteriorcingulate L-parsopercularis L
isthmuscingulate L-parsopercularis L
posteriorcingulate L-parsopercularis L
rostralanteriorcingulate L-parsopercularis L
frontalpole L-parsopercularis L
lateralorbitofrontal L-parsopercularis L
medialorbitofrontal L-parsopercularis L
parsorbitalis L-parsopercularis L
caudalmiddlefrontal L-parsopercularis L
caudalanteriorcingulate L-parstriangularis L
isthmuscingulate L-parstriangularis L
posteriorcingulate L-parstriangularis L
rostralanteriorcingulate L-parstriangularis L
frontalpole L-parstriangularis L
lateralorbitofrontal L-parstriangularis L
medialorbitofrontal L-parstriangularis L
parsorbitalis L-parstriangularis L
caudalmiddlefrontal L-parstriangularis L
parsopercularis L-parstriangularis L
caudalanteriorcingulate L-rostralmiddlefrontal L
isthmuscingulate L-rostralmiddlefrontal L
posteriorcingulate L-rostralmiddlefrontal L
rostralanteriorcingulate L-rostralmiddlefrontal L
frontalpole L-rostralmiddlefrontal L
lateralorbitofrontal L-rostralmiddlefrontal L
medialorbitofrontal L-rostralmiddlefrontal L
parsorbitalis L-rostralmiddlefrontal L
caudalmiddlefrontal L-rostralmiddlefrontal L
parsopercularis L-rostralmiddlefrontal L
parstriangularis L-rostralmiddlefrontal L
caudalanteriorcingulate L-superiorfrontal L
isthmuscingulate L-superiorfrontal L
posteriorcingulate L-superiorfrontal L
rostralanteriorcingulate L-superiorfrontal L
frontalpole L-superiorfrontal L
lateralorbitofrontal L-superiorfrontal L
medialorbitofrontal L-superiorfrontal L
parsorbitalis L-superiorfrontal L
caudalmiddlefrontal L-superiorfrontal L
parsopercularis L-superiorfrontal L
parstriangularis L-superiorfrontal L
rostralmiddlefrontal L-superiorfrontal L
caudalanteriorcingulate L-bankssts L
isthmuscingulate L-bankssts L
posteriorcingulate L-bankssts L
rostralanteriorcingulate L-bankssts L
frontalpole L-bankssts L
lateralorbitofrontal L-bankssts L
medialorbitofrontal L-bankssts L
parsorbitalis L-bankssts L
caudalmiddlefrontal L-bankssts L
parsopercularis L-bankssts L
parstriangularis L-bankssts L
rostralmiddlefrontal L-bankssts L
superiorfrontal L-bankssts L
caudalanteriorcingulate L-entorhinal L
isthmuscingulate L-entorhinal L
posteriorcingulate L-entorhinal L
rostralanteriorcingulate L-entorhinal L
frontalpole L-entorhinal L
lateralorbitofrontal L-entorhinal L
medialorbitofrontal L-entorhinal L
parsorbitalis L-entorhinal L
caudalmiddlefrontal L-entorhinal L
parsopercularis L-entorhinal L
parstriangularis L-entorhinal L
rostralmiddlefrontal L-entorhinal L
superiorfrontal L-entorhinal L
bankssts L-entorhinal L
caudalanteriorcingulate L-fusiform L
isthmuscingulate L-fusiform L
posteriorcingulate L-fusiform L
rostralanteriorcingulate L-fusiform L
frontalpole L-fusiform L
lateralorbitofrontal L-fusiform L
medialorbitofrontal L-fusiform L
parsorbitalis L-fusiform L
caudalmiddlefrontal L-fusiform L
parsopercularis L-fusiform L
parstriangularis L-fusiform L
rostralmiddlefrontal L-fusiform L
superiorfrontal L-fusiform L
bankssts L-fusiform L
entorhinal L-fusiform L
caudalanteriorcingulate L-inferiortemporal L
isthmuscingulate L-inferiortemporal L
posteriorcingulate L-inferiortemporal L
rostralanteriorcingulate L-inferiortemporal L
frontalpole L-inferiortemporal L
lateralorbitofrontal L-inferiortemporal L
medialorbitofrontal L-inferiortemporal L
parsorbitalis L-inferiortemporal L
caudalmiddlefrontal L-inferiortemporal L
parsopercularis L-inferiortemporal L
parstriangularis L-inferiortemporal L
rostralmiddlefrontal L-inferiortemporal L
superiorfrontal L-inferiortemporal L
bankssts L-inferiortemporal L
entorhinal L-inferiortemporal L
fusiform L-inferiortemporal L
caudalanteriorcingulate L-insula L
isthmuscingulate L-insula L
posteriorcingulate L-insula L
rostralanteriorcingulate L-insula L
frontalpole L-insula L
lateralorbitofrontal L-insula L
medialorbitofrontal L-insula L
parsorbitalis L-insula L
caudalmiddlefrontal L-insula L
parsopercularis L-insula L
parstriangularis L-insula L
rostralmiddlefrontal L-insula L
superiorfrontal L-insula L
bankssts L-insula L
entorhinal L-insula L
fusiform L-insula L
inferiortemporal L-insula L
caudalanteriorcingulate L-middletemporal L
isthmuscingulate L-middletemporal L
posteriorcingulate L-middletemporal L
rostralanteriorcingulate L-middletemporal L
frontalpole L-middletemporal L
lateralorbitofrontal L-middletemporal L
medialorbitofrontal L-middletemporal L
parsorbitalis L-middletemporal L
caudalmiddlefrontal L-middletemporal L
parsopercularis L-middletemporal L
parstriangularis L-middletemporal L
rostralmiddlefrontal L-middletemporal L
superiorfrontal L-middletemporal L
bankssts L-middletemporal L
entorhinal L-middletemporal L
fusiform L-middletemporal L
inferiortemporal L-middletemporal L
insula L-middletemporal L
caudalanteriorcingulate L-parahippocampal L
isthmuscingulate L-parahippocampal L
posteriorcingulate L-parahippocampal L
rostralanteriorcingulate L-parahippocampal L
frontalpole L-parahippocampal L
lateralorbitofrontal L-parahippocampal L
medialorbitofrontal L-parahippocampal L
parsorbitalis L-parahippocampal L
caudalmiddlefrontal L-parahippocampal L
parsopercularis L-parahippocampal L
parstriangularis L-parahippocampal L
rostralmiddlefrontal L-parahippocampal L
superiorfrontal L-parahippocampal L
bankssts L-parahippocampal L
entorhinal L-parahippocampal L
fusiform L-parahippocampal L
inferiortemporal L-parahippocampal L
insula L-parahippocampal L
middletemporal L-parahippocampal L
caudalanteriorcingulate L-superiortemporal L
isthmuscingulate L-superiortemporal L
posteriorcingulate L-superiortemporal L
rostralanteriorcingulate L-superiortemporal L
frontalpole L-superiortemporal L
lateralorbitofrontal L-superiortemporal L
medialorbitofrontal L-superiortemporal L
parsorbitalis L-superiortemporal L
caudalmiddlefrontal L-superiortemporal L
parsopercularis L-superiortemporal L
parstriangularis L-superiortemporal L
rostralmiddlefrontal L-superiortemporal L
superiorfrontal L-superiortemporal L
bankssts L-superiortemporal L
entorhinal L-superiortemporal L
fusiform L-superiortemporal L
inferiortemporal L-superiortemporal L
insula L-superiortemporal L
middletemporal L-superiortemporal L
parahippocampal L-superiortemporal L
caudalanteriorcingulate L-temporalpole L
isthmuscingulate L-temporalpole L
posteriorcingulate L-temporalpole L
rostralanteriorcingulate L-temporalpole L
frontalpole L-temporalpole L
lateralorbitofrontal L-temporalpole L
medialorbitofrontal L-temporalpole L
parsorbitalis L-temporalpole L
caudalmiddlefrontal L-temporalpole L
parsopercularis L-temporalpole L
parstriangularis L-temporalpole L
rostralmiddlefrontal L-temporalpole L
superiorfrontal L-temporalpole L
bankssts L-temporalpole L
entorhinal L-temporalpole L
fusiform L-temporalpole L
inferiortemporal L-temporalpole L
insula L-temporalpole L
middletemporal L-temporalpole L
parahippocampal L-temporalpole L
superiortemporal L-temporalpole L
caudalanteriorcingulate L-transversetemporal L
isthmuscingulate L-transversetemporal L
posteriorcingulate L-transversetemporal L
rostralanteriorcingulate L-transversetemporal L
frontalpole L-transversetemporal L
lateralorbitofrontal L-transversetemporal L
medialorbitofrontal L-transversetemporal L
parsorbitalis L-transversetemporal L
caudalmiddlefrontal L-transversetemporal L
parsopercularis L-transversetemporal L
parstriangularis L-transversetemporal L
rostralmiddlefrontal L-transversetemporal L
superiorfrontal L-transversetemporal L
bankssts L-transversetemporal L
entorhinal L-transversetemporal L
fusiform L-transversetemporal L
inferiortemporal L-transversetemporal L
insula L-transversetemporal L
middletemporal L-transversetemporal L
parahippocampal L-transversetemporal L
superiortemporal L-transversetemporal L
temporalpole L-transversetemporal L
caudalanteriorcingulate L-inferiorparietal L
isthmuscingulate L-inferiorparietal L
posteriorcingulate L-inferiorparietal L
rostralanteriorcingulate L-inferiorparietal L
frontalpole L-inferiorparietal L
lateralorbitofrontal L-inferiorparietal L
medialorbitofrontal L-inferiorparietal L
parsorbitalis L-inferiorparietal L
caudalmiddlefrontal L-inferiorparietal L
parsopercularis L-inferiorparietal L
parstriangularis L-inferiorparietal L
rostralmiddlefrontal L-inferiorparietal L
superiorfrontal L-inferiorparietal L
bankssts L-inferiorparietal L
entorhinal L-inferiorparietal L
fusiform L-inferiorparietal L
inferiortemporal L-inferiorparietal L
insula L-inferiorparietal L
middletemporal L-inferiorparietal L
parahippocampal L-inferiorparietal L
superiortemporal L-inferiorparietal L
temporalpole L-inferiorparietal L
transversetemporal L-inferiorparietal L
caudalanteriorcingulate L-precuneus L
isthmuscingulate L-precuneus L
posteriorcingulate L-precuneus L
rostralanteriorcingulate L-precuneus L
frontalpole L-precuneus L
lateralorbitofrontal L-precuneus L
medialorbitofrontal L-precuneus L
parsorbitalis L-precuneus L
caudalmiddlefrontal L-precuneus L
parsopercularis L-precuneus L
parstriangularis L-precuneus L
rostralmiddlefrontal L-precuneus L
superiorfrontal L-precuneus L
bankssts L-precuneus L
entorhinal L-precuneus L
fusiform L-precuneus L
inferiortemporal L-precuneus L
insula L-precuneus L
middletemporal L-precuneus L
parahippocampal L-precuneus L
superiortemporal L-precuneus L
temporalpole L-precuneus L
transversetemporal L-precuneus L
inferiorparietal L-precuneus L
caudalanteriorcingulate L-superiorparietal L
isthmuscingulate L-superiorparietal L
posteriorcingulate L-superiorparietal L
rostralanteriorcingulate L-superiorparietal L
frontalpole L-superiorparietal L
lateralorbitofrontal L-superiorparietal L
medialorbitofrontal L-superiorparietal L
parsorbitalis L-superiorparietal L
caudalmiddlefrontal L-superiorparietal L
parsopercularis L-superiorparietal L
parstriangularis L-superiorparietal L
rostralmiddlefrontal L-superiorparietal L
superiorfrontal L-superiorparietal L
bankssts L-superiorparietal L
entorhinal L-superiorparietal L
fusiform L-superiorparietal L
inferiortemporal L-superiorparietal L
insula L-superiorparietal L
middletemporal L-superiorparietal L
parahippocampal L-superiorparietal L
superiortemporal L-superiorparietal L
temporalpole L-superiorparietal L
transversetemporal L-superiorparietal L
inferiorparietal L-superiorparietal L
precuneus L-superiorparietal L
caudalanteriorcingulate L-supramarginal L
isthmuscingulate L-supramarginal L
posteriorcingulate L-supramarginal L
rostralanteriorcingulate L-supramarginal L
frontalpole L-supramarginal L
lateralorbitofrontal L-supramarginal L
medialorbitofrontal L-supramarginal L
parsorbitalis L-supramarginal L
caudalmiddlefrontal L-supramarginal L
parsopercularis L-supramarginal L
parstriangularis L-supramarginal L
rostralmiddlefrontal L-supramarginal L
superiorfrontal L-supramarginal L
bankssts L-supramarginal L
entorhinal L-supramarginal L
fusiform L-supramarginal L
inferiortemporal L-supramarginal L
insula L-supramarginal L
middletemporal L-supramarginal L
parahippocampal L-supramarginal L
superiortemporal L-supramarginal L
temporalpole L-supramarginal L
transversetemporal L-supramarginal L
inferiorparietal L-supramarginal L
precuneus L-supramarginal L
superiorparietal L-supramarginal L
caudalanteriorcingulate L-paracentral L
isthmuscingulate L-paracentral L
posteriorcingulate L-paracentral L
rostralanteriorcingulate L-paracentral L
frontalpole L-paracentral L
lateralorbitofrontal L-paracentral L
medialorbitofrontal L-paracentral L
parsorbitalis L-paracentral L
caudalmiddlefrontal L-paracentral L
parsopercularis L-paracentral L
parstriangularis L-paracentral L
rostralmiddlefrontal L-paracentral L
superiorfrontal L-paracentral L
bankssts L-paracentral L
entorhinal L-paracentral L
fusiform L-paracentral L
inferiortemporal L-paracentral L
insula L-paracentral L
middletemporal L-paracentral L
parahippocampal L-paracentral L
superiortemporal L-paracentral L
temporalpole L-paracentral L
transversetemporal L-paracentral L
inferiorparietal L-paracentral L
precuneus L-paracentral L
superiorparietal L-paracentral L
supramarginal L-paracentral L
caudalanteriorcingulate L-postcentral L
isthmuscingulate L-postcentral L
posteriorcingulate L-postcentral L
rostralanteriorcingulate L-postcentral L
frontalpole L-postcentral L
lateralorbitofrontal L-postcentral L
medialorbitofrontal L-postcentral L
parsorbitalis L-postcentral L
caudalmiddlefrontal L-postcentral L
parsopercularis L-postcentral L
parstriangularis L-postcentral L
rostralmiddlefrontal L-postcentral L
superiorfrontal L-postcentral L
bankssts L-postcentral L
entorhinal L-postcentral L
fusiform L-postcentral L
inferiortemporal L-postcentral L
insula L-postcentral L
middletemporal L-postcentral L
parahippocampal L-postcentral L
superiortemporal L-postcentral L
temporalpole L-postcentral L
transversetemporal L-postcentral L
inferiorparietal L-postcentral L
precuneus L-postcentral L
superiorparietal L-postcentral L
supramarginal L-postcentral L
paracentral L-postcentral L
caudalanteriorcingulate L-precentral L
isthmuscingulate L-precentral L
posteriorcingulate L-precentral L
rostralanteriorcingulate L-precentral L
frontalpole L-precentral L
lateralorbitofrontal L-precentral L
medialorbitofrontal L-precentral L
parsorbitalis L-precentral L
caudalmiddlefrontal L-precentral L
parsopercularis L-precentral L
parstriangularis L-precentral L
rostralmiddlefrontal L-precentral L
superiorfrontal L-precentral L
bankssts L-precentral L
entorhinal L-precentral L
fusiform L-precentral L
inferiortemporal L-precentral L
insula L-precentral L
middletemporal L-precentral L
parahippocampal L-precentral L
superiortemporal L-precentral L
temporalpole L-precentral L
transversetemporal L-precentral L
inferiorparietal L-precentral L
precuneus L-precentral L
superiorparietal L-precentral L
supramarginal L-precentral L
paracentral L-precentral L
postcentral L-precentral L
caudalanteriorcingulate L-cuneus L
isthmuscingulate L-cuneus L
posteriorcingulate L-cuneus L
rostralanteriorcingulate L-cuneus L
frontalpole L-cuneus L
lateralorbitofrontal L-cuneus L
medialorbitofrontal L-cuneus L
parsorbitalis L-cuneus L
caudalmiddlefrontal L-cuneus L
parsopercularis L-cuneus L
parstriangularis L-cuneus L
rostralmiddlefrontal L-cuneus L
superiorfrontal L-cuneus L
bankssts L-cuneus L
entorhinal L-cuneus L
fusiform L-cuneus L
inferiortemporal L-cuneus L
insula L-cuneus L
middletemporal L-cuneus L
parahippocampal L-cuneus L
superiortemporal L-cuneus L
temporalpole L-cuneus L
transversetemporal L-cuneus L
inferiorparietal L-cuneus L
precuneus L-cuneus L
superiorparietal L-cuneus L
supramarginal L-cuneus L
paracentral L-cuneus L
postcentral L-cuneus L
precentral L-cuneus L
caudalanteriorcingulate L-lateraloccipital L
isthmuscingulate L-lateraloccipital L
posteriorcingulate L-lateraloccipital L
rostralanteriorcingulate L-lateraloccipital L
frontalpole L-lateraloccipital L
lateralorbitofrontal L-lateraloccipital L
medialorbitofrontal L-lateraloccipital L
parsorbitalis L-lateraloccipital L
caudalmiddlefrontal L-lateraloccipital L
parsopercularis L-lateraloccipital L
parstriangularis L-lateraloccipital L
rostralmiddlefrontal L-lateraloccipital L
superiorfrontal L-lateraloccipital L
bankssts L-lateraloccipital L
entorhinal L-lateraloccipital L
fusiform L-lateraloccipital L
inferiortemporal L-lateraloccipital L
insula L-lateraloccipital L
middletemporal L-lateraloccipital L
parahippocampal L-lateraloccipital L
superiortemporal L-lateraloccipital L
temporalpole L-lateraloccipital L
transversetemporal L-lateraloccipital L
inferiorparietal L-lateraloccipital L
